"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","bbl","buildingIdentificationNumber","cooperativeIdNumber","gi5DigitStreetCode1","giHighHouseNumber1","giLowHouseNumber1","giStreetName1","lat","lng"
"277",2,"BATHGATE","02  TWO FAMILY HOMES","1",3050,85,"B1","2241 Bathgate Avenue",NA,10457,2,0,2,"1562",3382,2004,"1","B1",443776,2012-10-15,2030500085,"2011571","0000","11420","2241","2241","BATHGATE AVENUE",40.8536985505466,-73.8929697810813
"278",2,"BATHGATE","02  TWO FAMILY HOMES","1",3050,95,"B2","2242 Bassford Avenue",NA,10457,2,0,2,"1312",2300,1931,"1","B2",360000,2012-01-12,2030500095,"2011579","0000","11320","2242","2242","BASSFORD AVENUE",40.8538689196286,-73.8931827799932
"279",2,"BATHGATE","03  THREE FAMILY HOMES","1",3037,37,"C0","4418 Park Avenue",NA,10457,3,0,3,"3525",3290,1899,"1","C0",232161,2012-05-18,2030370037,"2011298","0000","56820","4418","4418","PARK AVENUE",40.8527844214788,-73.8958124366986
"280",2,"BATHGATE","03  THREE FAMILY HOMES","1",3046,28,"C0","2092 Washington Avenue",NA,10457,3,0,3,"2362",3438,2011,"1","C0",135000,2012-02-24,2030460028,"2120545","0000","73120","2092","2092","WASHINGTON AVENUE",40.8510741586852,-73.8954681096218
"281",2,"BATHGATE","03  THREE FAMILY HOMES","1",3050,1,"C0","2186 Washington Avenue",NA,10457,3,0,3,"1505",2640,1901,"1","C0",190000,2012-08-27,2030500001,"2000000","0000","27120","491","481","EAST  182 STREET",40.8538339222649,-73.8939238693393
"282",2,"BATHGATE","07  RENTALS - WALKUP APARTMENTS","2B",2899,44,"C1","404 East 175th St",NA,10457,8,0,8,"1981",6032,1931,"2","C1",570717,2012-11-20,2028990044,"2009434","0000","26910","404","404","EAST  175 STREET",40.8453735559135,-73.9018925137156
"283",2,"BATHGATE","07  RENTALS - WALKUP APARTMENTS","2B",3035,23,"C1","446 East 179 Street",NA,10457,8,0,8,"2805",8712,1910,"2","C1",410000,2012-04-23,2030350023,"2011261","0000","27030","446","446","EAST  179 STREET",40.8497503225509,-73.8975377262383
"284",2,"BATHGATE","07  RENTALS - WALKUP APARTMENTS","2",3050,20,"C1","2268 Washington Avenue",NA,10457,20,0,20,"4750",14900,1910,"2","C1",406000,2012-07-19,2030500020,"2011547","0000","73120","2268","2268","WASHINGTON AVENUE",40.8548048489415,-73.8931668174958
"285",2,"BATHGATE","14  RENTALS - 4-10 UNIT","2B",2924,36,"S9","4175 3 Avenue",NA,10457,6,2,8,"2400",7124,1931,"2","S9",6e+05,2012-05-01,2029240036,"2009609","0000","68020","4175","4175","3 AVENUE",40.8457672494055,-73.8969727929668
"286",2,"BATHGATE","29  COMMERCIAL GARAGES","4",2900,4,"G9","1820 Webster Avenue",NA,10457,0,3,3,"22184",21000,1925,"4","G9",3100000,2012-11-07,2029000004,"2009440","0000","56820","4125","4121","PARK AVENUE",40.8458588072551,-73.9012339841508
"287",2,"BATHGATE","29  COMMERCIAL GARAGES","4",2907,33,"G2","1805 Washington Avenue",NA,10457,0,1,1,"6928",2040,1963,"4","G2",195000,2012-09-25,2029070033,"2009514","0000","73120","1805","1805","WASHINGTON AVENUE",40.8446498212093,-73.8997105460736
"288",2,"BATHGATE","30  WAREHOUSES","4",2899,58,"E7","4077 Park Avenue",NA,10457,0,7,7,"9180",48000,1931,"4","E7",9733979,2012-12-20,2028990058,"2009439","0000","56820","4077","4077","PARK AVENUE",40.8448406640849,-73.901401753924
"289",2,"BATHGATE","30  WAREHOUSES","4",3036,10,"E9","4340 Park Avenue",NA,10457,0,1,1,"7050",8025,1931,"4","E9",220000,2012-04-24,2030360010,"2011271","0000","56820","4342","4340","PARK AVENUE",40.8506062287217,-73.8970412048089
"290",2,"BELMONT","02  TWO FAMILY HOMES","1",3071,58,"B2","2259 Hughes Avenue",NA,10457,2,0,2,"2500",2266,1901,"1","B2",2e+05,2012-10-05,2030710058,"2012096","0000","41320","2259","2259","HUGHES AVENUE",40.8523110563053,-73.8885729078053
"291",2,"BELMONT","02  TWO FAMILY HOMES","1",3101,11,"B1","2290 Beaumont Avenue",NA,10457,2,0,2,"1600",3112,2005,"1","B1",4e+05,2012-06-05,2031010011,"2114265","0000","12020","2290","2290","BEAUMONT AVENUE",40.8518358622845,-73.885403622874
"292",2,"BELMONT","02  TWO FAMILY HOMES","1",3101,11,"B1","2290 Beaumont Avenue",NA,10457,2,0,2,"1600",3112,2005,"1","B1",215982,2012-02-13,2031010011,"2114265","0000","12020","2290","2290","BEAUMONT AVENUE",40.8518358622845,-73.885403622874
